"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3386","should delete all todos one by one and empty the list","firefox","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","1243","should show zero todos in Active filter when all are completed","chromium","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","2768","should enter edit mode when double-clicking a todo label","firefox","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1087","should persist the completed state of todos across a page reload","chromium","2026-09-01","passed","2026-09-01","Persistence","","",""
"","1255","should trim whitespace when saving an edited todo","chromium","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1991","should trim leading and trailing whitespace from todo text","firefox","2026-09-01","passed","2026-09-01","Add todo","","",""
"","2006","should handle special characters in todo text","firefox","2026-09-01","passed","2026-09-01","Add todo","","",""
"","5396","should show zero todos in Completed filter when none are completed","firefox","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","1213","should revert to original text when pressing Escape","chromium","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1399","should delete one todo from a list of many","chromium","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","3386","should show all todos when the ""All"" filter is active","firefox","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","1617","should visually distinguish completed todos from active ones","chromium","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","2970","should unmark all todos when toggle-all is clicked while all are completed","firefox","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","1760","should not add an empty todo when Enter is pressed on blank input","chromium","2026-09-01","passed","2026-09-01","Add todo","","",""
"","2565","should show ""Clear completed"" only when at least one todo is completed","firefox","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","1704","should delete a todo by clicking the destroy button","chromium","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","3093","should update item count when todos are completed","firefox","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","2811","should clear input field after adding a todo","firefox","2026-09-01","passed","2026-09-01","Add todo","","",""
"","1518","should unmark a completed todo as active","chromium","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","1439","should update item count when todos are completed","chromium","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","1930","should add multiple todo items","chromium","2026-09-01","passed","2026-09-01","Add todo","","",""
"","3647","should update the Active view in real-time when a visible todo is completed","firefox","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","2629","should complete remaining active todos when toggle-all is used with mixed state","firefox","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","2567","should delete a todo by clicking the destroy button","firefox","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","4242","should persist the active filter selection across a page reload","firefox","2026-09-01","passed","2026-09-01","Persistence","","",""
"","1564","should not add a todo containing only whitespace","chromium","2026-09-01","passed","2026-09-01","Add todo","","",""
"","6180","should persist todos across a page reload","firefox","2026-09-01","passed","2026-09-01","Persistence","","",""
